Status 	WindowsMs 		ProgGlob 	ProgLow 	ProgHi  	Sec     	Ms      	MsDiff  	X_Pos_J1	Y_Pos_J2	Z_Pos_J3	C_RotPos_J4	A_TiltPos_J5	LaseOn	PowerFeedback
L		1631612263167	00030897	00006197	00000000	00000040	00000483	00000004	-68.295000	-155.890000	-83.900000	359.999000	0.001000	True	1088,32
L		1631612263167	00030899	00006199	00000000	00000040	00000487	00000004	-68.234000	-155.890000	-83.900000	359.999000	0.001000	True	2802,17
L		1631612263167	00030901	00006201	00000000	00000040	00000491	00000004	-68.173000	-155.890000	-83.900000	359.999000	0.001000	False	1056,64
L		1631612263167	00030903	00006203	00000000	00000040	00000495	00000004	-68.112000	-155.890000	-83.900000	359.999000	0.001000	False	596,3
L		1631612263183	00030905	00006205	00000000	00000040	00000499	00000004	-68.050000	-155.890000	-83.900000	359.999000	0.001000	False	2449,43
L		1631612263183	00030907	00006207	00000000	00000040	00000503	00000004	-67.989000	-155.890000	-83.900000	359.999000	0.001000	False	1828,19
L		1631612263183	00030909	00006209	00000000	00000040	00000507	00000004	-67.928000	-155.890000	-83.900000	359.999000	0.001000	True	2144,05
L		1631612263183	00030911	00006211	00000000	00000040	00000511	00000004	-67.868000	-155.890000	-83.900000	359.999000	0.001000	False	379,68
L		1631612263198	00030913	00006213	00000000	00000040	00000515	00000004	-67.808000	-155.890000	-83.900000	359.999000	0.001000	False	2274,97
L		1631612263198	00030915	00006215	00000000	00000040	00000519	00000004	-67.749000	-155.890000	-83.900000	359.999000	0.001000	True	762,97
L		1631612263198	00030917	00006217	00000000	00000040	00000523	00000004	-67.691000	-155.890000	-83.900000	359.999000	0.001000	True	2744,73
L		1631612263198	00030919	00006219	00000000	00000040	00000527	00000004	-67.632000	-155.890000	-83.900000	359.999000	0.001000	False	2465,81
L		1631612263214	00030921	00006221	00000000	00000040	00000531	00000004	-67.572000	-155.890000	-83.900000	359.999000	0.001000	True	1745,22
L		1631612263214	00030923	00006223	00000000	00000040	00000535	00000004	-67.513000	-155.890000	-83.900000	359.999000	0.001000	False	1968,56
L		1631612263214	00030925	00006225	00000000	00000040	00000539	00000004	-67.453000	-155.890000	-83.900000	359.999000	0.001000	False	1722,13
L		1631612263214	00030927	00006227	00000000	00000040	00000543	00000004	-67.394000	-155.890000	-83.900000	359.999000	0.001000	False	1039,16
L		1631612263230	00030929	00006229	00000000	00000040	00000547	00000004	-67.334000	-155.890000	-83.900000	359.999000	0.001000	False	2837,4
L		1631612263230	00030931	00006231	00000000	00000040	00000551	00000004	-67.273000	-155.890000	-83.900000	359.999000	0.001000	False	48,66
L		1631612263230	00030933	00006233	00000000	00000040	00000555	00000004	-67.212000	-155.890000	-83.900000	359.999000	0.001000	True	410,16
L		1631612263230	00030935	00006235	00000000	00000040	00000559	00000004	-67.151000	-155.890000	-83.900000	359.999000	0.001000	True	1624,49
L		1631612263245	00030938	00006238	00000000	00000040	00000565	00000006	-67.058000	-155.890000	-83.900000	359.999000	0.001000	True	2370,27
L		1631612263245	00030941	00006241	00000000	00000040	00000571	00000006	-66.965000	-155.890000	-83.900000	359.999000	0.001000	False	300,66
L		1631612263261	00030943	00006243	00000000	00000040	00000575	00000004	-66.906000	-155.890000	-83.900000	359.999000	0.001000	False	1023,44
L		1631612263261	00030945	00006245	00000000	00000040	00000579	00000004	-66.846000	-155.890000	-83.900000	359.999000	0.001000	False	1063,38
L		1631612263261	00030947	00006247	00000000	00000040	00000583	00000004	-66.787000	-155.890000	-83.900000	359.999000	0.001000	False	490,23
L		1631612263261	00030949	00006249	00000000	00000040	00000587	00000004	-66.729000	-155.890000	-83.900000	359.999000	0.001000	True	2104,94
L		1631612263277	00030951	00006251	00000000	00000040	00000591	00000004	-66.670000	-155.890000	-83.900000	359.999000	0.001000	True	514,46
L		1631612263277	00030953	00006253	00000000	00000040	00000595	00000004	-66.612000	-155.890000	-83.900000	359.999000	0.001000	True	2280,31
L		1631612263277	00030955	00006255	00000000	00000040	00000599	00000004	-66.553000	-155.890000	-83.900000	359.999000	0.001000	True	1950,08
L		1631612263277	00030958	00006258	00000000	00000040	00000605	00000006	-66.462000	-155.890000	-83.900000	359.999000	0.001000	True	1286,77
L		1631612263292	00030960	00006260	00000000	00000040	00000609	00000004	-66.403000	-155.890000	-83.900000	359.999000	0.001000	False	1155,79
L		1631612263292	00030962	00006262	00000000	00000040	00000613	00000004	-66.343000	-155.890000	-83.900000	359.999000	0.001000	True	735,31
L		1631612263292	00030964	00006264	00000000	00000040	00000617	00000004	-66.282000	-155.890000	-83.900000	359.999000	0.001000	False	2189,88
L		1631612263292	00030966	00006266	00000000	00000040	00000621	00000004	-66.221000	-155.890000	-83.900000	359.999000	0.001000	False	1177,93
L		1631612263308	00030968	00006268	00000000	00000040	00000625	00000004	-66.160000	-155.890000	-83.900000	359.999000	0.001000	False	2352,64
L		1631612263308	00030970	00006270	00000000	00000040	00000629	00000004	-66.099000	-155.890000	-83.900000	359.999000	0.001000	True	92,89
L		1631612263308	00030972	00006272	00000000	00000040	00000633	00000004	-66.037000	-155.890000	-83.900000	359.999000	0.001000	True	2446,69
L		1631612263308	00030974	00006274	00000000	00000040	00000637	00000004	-65.974000	-155.890000	-83.900000	359.999000	0.001000	False	2479,53
L		1631612263323	00030976	00006276	00000000	00000040	00000641	00000004	-65.915000	-155.890000	-83.900000	359.999000	0.001000	False	335,9
L		1631612263323	00030978	00006278	00000000	00000040	00000645	00000004	-65.855000	-155.890000	-83.900000	359.999000	0.001000	False	823,55
L		1631612263323	00030980	00006280	00000000	00000040	00000649	00000004	-65.795000	-155.890000	-83.900000	359.999000	0.001000	True	1337,59
L		1631612263339	00030982	00006282	00000000	00000040	00000653	00000004	-65.737000	-155.890000	-83.900000	359.999000	0.001000	True	2536,55
